Rank,Book Title,Author,Rating,Reviews,Price,url
#37,A Shadow in the Ember,Jennifer L. Armentrout,4.7,37828,8.99,https://www.amazon.com/Shadow-Ember-Flesh-Fire-Book-ebook/dp/B08Z2ZJSR3/ref=zg_bs_g_6190484011_d_sccl_37/142-3510744-9003908?psc=1
#38,Reborn (Shadow Beast Shifters 3),Jaymin Eve,4.6,20287,5.99,https://www.amazon.com/Reborn-Shadow-Beast-Shifters-Book-ebook/dp/B08RWMTPCR/ref=zg_bs_g_6190484011_d_sccl_38/142-3510744-9003908?psc=1
#39,Promised in Blood,Sadie Kincaid,4.4,19417,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8SR1DW/ref=zg_bs_g_6190484011_d_sccl_39/142-3510744-9003908?psc=1
#40,Don't Feed the Vampire,Grae Bryan,4.5,864,5.99,https://www.amazon.com/Dont-Feed-Vampire-Coastal-Creatures-ebook/dp/B0DQ45KFKR/ref=zg_bs_g_6190484011_d_sccl_40/142-3510744-9003908?psc=1
#41,The Wolf Queen,Lauren Palphreyman,,,5.99,https://www.amazon.com/Wolf-Queen-Fantasy-Romance-ebook/dp/B0GGBVWGB1/ref=zg_bs_g_6190484011_d_sccl_41/142-3510744-9003908?psc=1
#42,Knot in Doubt,Ember L. Nicole,4.2,879,4.99,https://www.amazon.com/Promises-Omegaverse-Ember-L-Nicole-ebook/dp/B0FG87MSM2/ref=zg_bs_g_6190484011_d_sccl_42/142-3510744-9003908?psc=1
#43,The Venom in our Vows,Talia Shepstone,4.3,1240,5.99,https://www.amazon.com/Venom-our-Vows-Reverse-Fantasy-ebook/dp/B0FV7W4WLD/ref=zg_bs_g_6190484011_d_sccl_43/142-3510744-9003908?psc=1
#44,Primal: A Rejected Mate Romance,Kayleigh King,4.3,2925,4.99,https://www.amazon.com/Primal-Rejected-Omegaverse-Romance-Drive-ebook/dp/B0DSZ57DKN/ref=zg_bs_g_6190484011_d_sccl_44/142-3510744-9003908?psc=1
#45,Witch Fire,Lyra Mishon,4.4,1856,4.99,https://www.amazon.com/Witch-Fire-paranormal-academy-Starfall-ebook/dp/B0FX4G5Z99/ref=zg_bs_g_6190484011_d_sccl_45/142-3510744-9003908?psc=1
#46,Clash of Claws,Elizabeth Dear,4.7,4669,5.99,https://www.amazon.com/Clash-Claws-Shifter-Guardians-Academy-ebook/dp/B0FNRMCTRC/ref=zg_bs_g_6190484011_d_sccl_46/142-3510744-9003908?psc=1
#47,Crescent Kingdom,Tessa Hale,4.4,13044,4.99,https://www.amazon.com/Crescent-Kingdom-Wolves-Creek-Book-ebook/dp/B0D852YJZ5/ref=zg_bs_g_6190484011_d_sccl_47/142-3510744-9003908?psc=1
#48,Night Owl Bridge,Seana Kelly,4.7,239,0.99,https://www.amazon.com/Night-Bridge-Story-World-Wicche-ebook/dp/B0GQJ3JLX9/ref=zg_bs_g_6190484011_d_sccl_48/142-3510744-9003908?psc=1
#49,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4.6,69616,8.99,https://www.amazon.com/Kingdom-Flesh-Fire-Blood-Book-ebook/dp/B08BZ61HDF/ref=zg_bs_g_6190484011_d_sccl_49/142-3510744-9003908?psc=1
#50,Bound in Blood,Sadie Kincaid,4.4,17024,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0DDY763WZ/ref=zg_bs_g_6190484011_d_sccl_50/142-3510744-9003908?psc=1
#51,Eldrith Manor,Leigh Rivers,4.2,2044,4.99,https://www.amazon.com/Eldrith-Manor-Leigh-Rivers-ebook/dp/B0FDF3H3CD/ref=zg_bs_g_6190484011_d_sccl_1/145-2966230-4286357
#52,The Crown of Gilded Bones,Jennifer L. Armentrout,4.6,70232,8.99,https://www.amazon.com/Crown-Gilded-Bones-Blood-Book-ebook/dp/B08NS24X2T/ref=zg_bs_g_6190484011_d_sccl_2/145-2966230-4286357
#53,How To Tell If Your K-9 Is A Demon,Trista Ricketts,4.5,379,5.99,https://www.amazon.com/How-Tell-Your-K-9-Demon-ebook/dp/B0GCPQH68P/ref=zg_bs_g_6190484011_d_sccl_3/145-2966230-4286357
#54,Mate,Ali Hazelwood,4.4,29773,10.99,https://www.amazon.com/Mate-Ali-Hazelwood-ebook/dp/B0DY3SL9FW/ref=zg_bs_g_6190484011_d_sccl_4/145-2966230-4286357
#55,Eclipsed Heart,Jen L. Grey,4.4,7569,5.99,https://www.amazon.com/Eclipsed-Heart-Twisted-Fate-Trilogy-ebook/dp/B0CGK3B64M/ref=zg_bs_g_6190484011_d_sccl_5/145-2966230-4286357
#56,Her Irish Dragons,Theodora Taylor,3.6,19,5.99,https://www.amazon.com/Her-Irish-Dragons-Shifters-Book-ebook/dp/B0FBSF6G1G/ref=zg_bs_g_6190484011_d_sccl_6/145-2966230-4286357
#57,The Ice Tyrant's Fated Mate,Riley Storm,4.5,194,3.99,https://www.amazon.com/Tyrants-Fated-Hollow-Earth-Dragons-ebook/dp/B0GKYZRQC5/ref=zg_bs_g_6190484011_d_sccl_7/145-2966230-4286357
#58,The War of Two Queens,Jennifer L. Armentrout,4.4,58280,8.99,https://www.amazon.com/War-Two-Queens-Blood-Book-ebook/dp/B0992Y537S/ref=zg_bs_g_6190484011_d_sccl_8/145-2966230-4286357
#59,Fated to the Feral Wolf,April L. Moon,4.4,15323,6.99,https://www.amazon.com/Fated-Feral-Wolf-Shifter-Paranormal-ebook/dp/B0CQQFZ28W/ref=zg_bs_g_6190484011_d_sccl_9/145-2966230-4286357
#60,Fearless Bond,Roe Horvat,4.2,1082,0.99,https://www.amazon.com/Fearless-Bond-Bears-Beauville-Book-ebook/dp/B0DK1T1XPT/ref=zg_bs_g_6190484011_d_sccl_10/145-2966230-4286357
#61,Her Soul to Take,Harley Laroux,4.4,41464,4.99,https://www.amazon.com/Her-Soul-Take-Souls-Trilogy-ebook/dp/B08WJHGH2T/ref=zg_bs_g_6190484011_d_sccl_11/145-2966230-4286357
#62,Witches With Benefits,Amanda M. Lee,4.7,1846,4.99,https://www.amazon.com/Witches-Benefits-Nightshade-Detective-Mystery-ebook/dp/B0FCDS2SSG/ref=zg_bs_g_6190484011_d_sccl_12/145-2966230-4286357
#63,Blood Oath,Morgan B Lee,4.4,20219,3.99,https://www.amazon.com/Blood-Oath-Paranormal-Reverse-Legacies-ebook/dp/B0CRTHWGQS/ref=zg_bs_g_6190484011_d_sccl_13/145-2966230-4286357
#64,Crowned by the Enemy Vampire,Michele Mills,4.4,286,3.99,https://www.amazon.com/Crowned-Enemy-Vampire-Michele-Mills-ebook/dp/B0G3Y1RBHF/ref=zg_bs_g_6190484011_d_sccl_14/145-2966230-4286357
#65,Raw: A Rejected Mate Omegaverse,Kayleigh King,4.1,1443,4.99,https://www.amazon.com/Raw-Rejected-Omegaverse-Kayleigh-King-ebook/dp/B0GHJM1JR6/ref=zg_bs_g_6190484011_d_sccl_15/145-2966230-4286357
#66,Bride,Ali Hazelwood,4.4,62977,9.99,https://www.amazon.com/Bride-Ali-Hazelwood-ebook/dp/B0C9GQV1TT/ref=zg_bs_g_6190484011_d_sccl_16/145-2966230-4286357
#67,Brownies for My Grumpy Bunny,Honey Phillips,4.6,700,4.99,https://www.amazon.com/Brownies-My-Grumpy-Bunny-Fairhaven-ebook/dp/B0FZ6T7DQB/ref=zg_bs_g_6190484011_d_sccl_17/145-2966230-4286357
#68,Hidden Within the Secret Heart,Tessa Cole,4.1,267,4.99,https://www.amazon.com/Hidden-Within-Secret-Desperate-Disguise-ebook/dp/B0DZJ1TZFB/ref=zg_bs_g_6190484011_d_sccl_18/145-2966230-4286357
#69,A Light in the Flame,Jennifer L. Armentrout,4.7,34088,8.99,https://www.amazon.com/Light-Flame-Flesh-Fire-Novel-ebook/dp/B09YMS96FN/ref=zg_bs_g_6190484011_d_sccl_19/145-2966230-4286357
#70,Fated to the Scarred Wolf,April L. Moon,4.5,4384,6.99,https://www.amazon.com/Fated-Scarred-Wolf-Shifter-Paranormal-ebook/dp/B0F4L1KV2F/ref=zg_bs_g_6190484011_d_sccl_20/145-2966230-4286357
#71,Chosen Destiny,Jen L. Grey,4.4,6265,5.99,https://www.amazon.com/Chosen-Destiny-Twisted-Fate-Trilogy-ebook/dp/B0CJ7GFBHG/ref=zg_bs_g_6190484011_d_sccl_21/145-2966230-4286357
#72,Born of Blood and Ash,Jennifer L. Armentrout,4.4,15374,8.99,https://www.amazon.com/Born-Blood-Ash-Flesh-Novel-ebook/dp/B0CFM9PSV7/ref=zg_bs_g_6190484011_d_sccl_22/145-2966230-4286357
#73,Mated to the Alpha Squad,Ella Hartwell,4,740,2.99,https://www.amazon.com/Mated-Alpha-Squad-Reverse-Shifter-ebook/dp/B0G5GVJMQG/ref=zg_bs_g_6190484011_d_sccl_23/145-2966230-4286357
#74,Savage Fae,Caroline Peckham,4.4,34947,6.99,https://www.amazon.com/Savage-Ruthless-Boys-Zodiac-Book-ebook/dp/B07ZFJLSX3/ref=zg_bs_g_6190484011_d_sccl_24/145-2966230-4286357
#75,Mate abandoned by Alpha,Gertty Rudraw,4,1736,2.99,https://www.amazon.com/Mate-abandoned-Alpha-Pregnancy-Paranormal-ebook/dp/B0G5Y2C98H/ref=zg_bs_g_6190484011_d_sccl_25/145-2966230-4286357
